journal,publisher,count
Aerobiologia,Springer Netherlands; Dordrecht,3
Journal of Cardiovascular Magnetic Resonance,BioMed Central; London,3
The Veterinary Record,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",3
Endocrine,Springer US; New York,3
Biometrical Journal. Biometrische Zeitschrift,John Wiley and Sons Inc.; Hoboken,3
Journal of Neurovirology,Springer International Publishing; Cham,3
Designed Monomers and Polymers,Taylor & Francis,3
The Journal of Hospital Infection,W.B. Saunders For The Hospital Infection Society,3
Future Journal of Pharmaceutical Sciences,Springer Berlin Heidelberg; Berlin/Heidelberg,3
FEBS letters,,3
Veterinary Immunology and Immunopathology,Elsevier Scientific,3
International Urology and Nephrology,Springer Netherlands; Dordrecht,3
Journal of Microscopy and Ultrastructure,Medknow Publications & Media Pvt Ltd; India,3
Brain Stimulation,Elsevier,3
Biology of Sport,Institute of Sport in Warsaw,3
Future Microbiology,"Future Medicine Ltd; London, UK",3
Chemcatchem,John Wiley and Sons Inc.; Hoboken,3
Journal of Carcinogenesis,Wolters Kluwer - Medknow; India,3
Intensive Care Medicine,Springer Berlin Heidelberg; Berlin/Heidelberg,3
The American Journal of Case Reports,"International Scientific Literature, Inc.",3
Advanced Journal of Emergency Medicine,"Tehran University of Medical Sciences; Tehran, Iran",3
The Prostate,John Wiley and Sons Inc.; Hoboken,3
Therapeutics and Clinical Risk Management,Dove,3
Experimental Neurobiology,The Korean Society for Brain and Neural Science,3
"Journal of Clinical Neurology (Seoul, Korea)",Korean Neurological Association,3
The Journal of investigative dermatology,,3
Archives of Plastic Surgery,Korean Society of Plastic and Reconstructive Surgeons,3
Veterinary Medicine : Research and Reports,Dove,3
The Oncologist,"John Wiley & Sons, Inc.; Hoboken, USA",3
Biodrugs,Springer International Publishing; Cham,3
Molecular Imaging and Biology,Springer International Publishing; Cham,3
Journal of food protection,,3
Review of Philosophy and Psychology,Springer Netherlands; Dordrecht,3
Frontiers in ecology and evolution,,3
Hypertension Research,Springer Nature Singapore; Singapore,3
"Multiple Sclerosis Journal - Experimental, Translational and Clinical","SAGE Publications; Sage UK: London, England",3
Frontiers in virology,,3
Annals of Gastroenterological Surgery,John Wiley and Sons Inc.; Hoboken,3
BJS Open,Oxford University Press; US,3
Modern Technologies in Medicine,Privolzhsky Research Medical University; Russia,3
IUCrData,International Union of Crystallography,3
UCL Open Environment,UCL Press; UK,3
Archives of Gynecology and Obstetrics,Springer Berlin Heidelberg; Berlin/Heidelberg,3
Addiction Science & Clinical Practice,BioMed Central; London,3
Jcpp Advances,John Wiley and Sons Inc.; Hoboken,3
International Journal of Stem Education,Springer International Publishing; Cham,3
The Malaysian Journal of Medical Sciences : MJMS,Penerbit Universiti Sains Malaysia,3
Open Research Africa,"F1000 Research Limited; London, UK",3
BJGP Open,Royal College of General Practitioners,3
Perceptual and Motor Skills,"SAGE Publications; Sage CA: Los Angeles, CA",3
Crystengcomm,The Royal Society of Chemistry,3
Microplastics and Nanoplastics,Springer International Publishing; Cham,3
Mycotoxin Research,Springer Berlin Heidelberg; Berlin/Heidelberg,3
Cardiovascular Engineering and Technology,Springer International Publishing; Cham,3
Biological Trace Element Research,Springer US; New York,3
Perspectives on Medical Education,Ubiquity Press,3
Biomédica,Instituto Nacional de Salud,3
Materials Horizons,The Royal Society of Chemistry,3
JAAD Case Reports,Elsevier,3
Health Promotion International,Oxford University Press; US,3
Cell Structure and Function,Japan Society for Cell Biology,3
Cadernos de Saúde Pública,"Escola Nacional de Saúde Pública Sergio Arouca, Fundação Oswaldo Cruz",3
Bulletin of Mathematical Biology,Springer US; New York,3
The Lancet. Digital Health,Elsevier Ltd,3
Journal of Toxicology,Hindawi,3
Journal of Medical Biochemistry,"Society of Medical Biochemists of Serbia, Belgrade",3
Women's Health Reports,"Mary Ann Liebert, Inc., publishers; 140 Huguenot Street, 3rd Floor New Rochelle, NY 10801 USA",3
JMIR Human Factors,"JMIR Publications; Toronto, Canada",3
International Journal of Applied Positive Psychology,Springer International Publishing; Cham,3
Wiley Interdisciplinary Reviews. RNA,"John Wiley & Sons, Inc.; Hoboken, USA",3
Infection Control and Hospital Epidemiology,"Cambridge University Press; New York, USA",3
Jasa Express Letters,Acoustical Society of America,3
Antibody Therapeutics,Oxford University Press,3
Clinical Rheumatology,Springer International Publishing; Cham,3
The Lancet. Rheumatology,Elsevier Ltd,3
Wearable Technologies,"Cambridge University Press; Cambridge, UK",3
Schizophrenia,Nature Publishing Group UK; London,3
International Journal of Mental Health and Addiction,Springer US; New York,3
Journal of Mood and Anxiety Disorders,Elsevier,3
Kinetoplastid Biology and Disease,BioMed Central; London,3
Comparative Hepatology,BioMed Central; London,3
"Mayo Clinic Proceedings: Innovations, Quality & Outcomes",Elsevier,3
JMIR Cancer,"JMIR Publications; Toronto, Canada",3
Clinical and Experimental Nephrology,Springer Singapore; Singapore,3
Supportive Care in Cancer,Springer Berlin Heidelberg; Berlin/Heidelberg,3
Acta Dermato-Venereologica,Society for Publication of Acta Dermato-Venereologica,3
"Alcohol and Alcoholism (Oxford, Oxfordshire)",Oxford University Press,3
Graefe's Archive for Clinical and Experimental Ophthalmology,Springer Berlin Heidelberg; Berlin/Heidelberg,3
Journal of Clinical Epidemiology,Elsevier,3
Oncology Reviews,"PAGEPress Publications, Pavia, Italy",3
Acta Psychologica,North Holland Publishing,3
"Interdisciplinary Sciences, Computational Life Sciences",Springer Nature Singapore; Singapore,3
Neurotrauma Reports,"Mary Ann Liebert, Inc., publishers; 140 Huguenot Street, 3rd Floor New Rochelle, NY 10801 USA",3
Human Reproduction Update,Oxford University Press,3
International Journal of Hepatology,Hindawi,3
"Breast Cancer (Tokyo, Japan)",Springer Singapore; Singapore,3
Social Science & Medicine (1982),Pergamon,3
Tomography,MDPI,3
Cancer Chemotherapy and Pharmacology,Springer Berlin Heidelberg; Berlin/Heidelberg,3
The Open Biochemistry Journal,Bentham Open,3
European Journal of Protistology,Gustav Fischer Verlag,3
Dementia and Geriatric Cognitive Disorders EXTRA,"S. Karger AG; Allschwilerstrasse 10, P.O. Box · Postfach · Case postale, CH–4009, Basel, Switzerland · Schweiz · Suisse, Phone: +41 61 306 11 11, Fax: +41 61 306 12 34, karger@karger.ch",3
The Pediatric Infectious Disease Journal,"Lippincott Williams & Wilkins; Hagerstown, MD",3
Osteoporosis International,Springer-Verlag; London,3
Iranian Journal of Pediatrics,Tehran University of Medical Sciences,3
Indian Journal of Pharmaceutical Sciences,Medknow Publications & Media Pvt Ltd; India,3
Journal of Investigative Medicine High Impact Case Reports,"SAGE Publications; Sage CA: Los Angeles, CA",3
International Journal of Applied and Basic Medical Research,Medknow Publications & Media Pvt Ltd; India,3
F1000Prime Reports,Faculty of 1000 Ltd,3
Arthritis and Rheumatism,Wiley Periodicals,3
Journal of Geophysical Research. Biogeosciences,John Wiley and Sons Inc.; Hoboken,3
Transcription,Landes Bioscience,3
Journal of Exercise Science and Fitness,The Society of Chinese Scholars on Exercise Physiology and Fitness,3
Contact,"SAGE Publications; Sage CA: Los Angeles, CA",3
Clinical and Applied Thrombosis/Hemostasis,"SAGE Publications; Sage CA: Los Angeles, CA",3
Annals of Neurosciences,"SAGE Publications; Sage India: New Delhi, India",3
Journal of mood and anxiety disorders,,3
Clinical Pharmacokinetics,Springer International Publishing; Cham,3
Biotechnology Journal,John Wiley and Sons Inc.; Hoboken,3
Mechanobiology in Medicine,Elsevier,3
Yonsei Medical Journal,Yonsei University College of Medicine,3
Neuropsychiatric Disease and Treatment,Dove,3
Hepatitis Research and Treatment,Hindawi Publishing Corporation,3
Fems Yeast Research,"Blackwell Publishing Ltd; Oxford, UK",3
Genome Integrity,BioMed Central,3
Genetic Vaccines and Therapy,BioMed Central,3
Cell Division,BioMed Central,3
International Journal of Cell Biology,Hindawi Publishing Corporation,3
Microbial Informatics and Experimentation,BioMed Central,3
Iranian Red Crescent Medical Journal,Kowsar,3
Influenza Research and Treatment,Hindawi Publishing Corporation,3
ISRN Oncology,International Scholarly Research Network,3
Organic and Medicinal Chemistry Letters,Springer,3
Atherosclerosis,Elsevier,3
Archives of Environmental Contamination and Toxicology,Springer US; Boston,3
Chemistry & Biology,Elsevier,3
BMC Pharmacology,BioMed Central,3
Current Medicinal Chemistry,Bentham Science Publishers Ltd.,3
International Journal of Sports Physical Therapy,NASMI,3
Journal of Clinical Pharmacology,John Wiley and Sons Inc.; Hoboken,3
Acta Myologica,Pacini Editore Srl,3
Cytotherapy,,3
American Journal of Alzheimer's Disease and Other Dementias,"SAGE Publications; Sage CA: Los Angeles, CA",3
Neuroendocrinology,"S. Karger AG; Allschwilerstrasse 10, P.O. Box · Postfach · Case postale, CH–4009, Basel, Switzerland · Schweiz · Suisse, Phone: +41 61 306 11 11, Fax: +41 61 306 12 34, karger@karger.com",3
Journal of Periodontal & Implant Science,Korean Academy of Periodontology,3
Women's Health,"SAGE Publications; Sage UK: London, England",3
"Inquiry: A Journal of Medical Care Organization, Provision and Financing","SAGE Publications; Sage CA: Los Angeles, CA",3
European Heart Journal. Quality of Care & Clinical Outcomes,Oxford University Press,3
American Journal of Medical Quality,"Lippincott Williams & Wilkins; Hagerstown, MD",3
Journal of Advanced Pharmaceutical Technology & Research,Wolters Kluwer - Medknow; India,3
Therapeutic Advances in Psychopharmacology,"SAGE Publications; Sage UK: London, England",3
Ees Catalysis,RSC,3
The Journal of Parasitology,American Society of Parasitologists,3
International Journal of Psychological Research,"Facultad de Psicología. Universidad de San Buenaventura, Medellín",3
Translational Behavioral Medicine,Oxford University Press; US,3
International Journal of Exercise Science,Berkeley Electronic Press,3
Bulletin of Volcanology,Springer Berlin Heidelberg; Berlin/Heidelberg,3
JCO Clinical Cancer Informatics,Wolters Kluwer Health,3
Experimental Biology and Medicine,Frontiers Media S.A.,3
npj Metabolic Health and Disease,Nature Publishing Group UK; London,3
Eye and Vision,BioMed Central; London,3
Integrative Cancer Therapies,"SAGE Publications; Sage CA: Los Angeles, CA",3
Oral Health & Preventive Dentistry,Quintessence Publishing Co Inc.,3
Primates; Journal of Primatology,Springer Nature Singapore; Singapore,3
Cochrane Evidence Synthesis and Methods,John Wiley and Sons Inc.; Hoboken,3
Reading and Writing,Springer Netherlands; Dordrecht,3
Journal of Geophysical Research. Solid Earth,John Wiley and Sons Inc.; Hoboken,3
Intrinsically Disordered Proteins,Taylor & Francis,3
Journal of Global Infectious Diseases,Medknow Publications & Media Pvt Ltd; India,3
"Clinical Medicine Insights. Circulatory, Respiratory and Pulmonary Medicine","SAGE Publications; Sage UK: London, England",3
Pharmacy Practice,Centro de Investigaciones y Publicaciones Farmaceuticas,3
Nature structural & molecular biology,,3
Investigative and Clinical Urology,The Korean Urological Association,3
The Japanese Dental Science Review,Elsevier,3
Veterinary Parasitology: X,Elsevier,3
AMRC open research,,3
Progress in biophysics and molecular biology,,3
BMJ Health & Care Informatics,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",3
Evidence-Based Mental Health,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",3
Universal Access in the Information Society,Springer Berlin Heidelberg; Berlin/Heidelberg,2
Journal of Health Monitoring,"Robert Koch Institute; Nordufer 20 13353 Berlin, Germany",2
Journal of Functional Biomaterials,MDPI,2
Food Safety,"Food Safety Commission, Cabinet Office, Government of Japan",2
Head and Neck Pathology,Springer US; New York,2
International Journal of Health Policy and Management,Kerman University of Medical Sciences,2
Computational Brain & Behavior,Springer International Publishing; Cham,2
Urolithiasis,Springer Berlin Heidelberg; Berlin/Heidelberg,2
"Med (New York, N.Y.)",,2
Discourse Processes,Routledge,2
Thyroid Research,BioMed Central; London,2
"Multiple Sclerosis (Houndmills, Basingstoke, England)","SAGE Publications; Sage UK: London, England",2
Biological psychiatry,,2
Frontiers in microbiomes,,2
Neuroimmune Pharmacology and Therapeutics,De Gruyter,2
Redox Report : Communications in Free Radical Research,Taylor & Francis,2
Current Alzheimer Research,Bentham Science Publishers,2
Frontiers in Marine Science,,2
Biomaterials and Biosystems,Elsevier,2
International Journal of Clinical Practice,Hindawi,2
"Global Health, Epidemiology and Genomics",Hindawi,2
Nursing Reports,MDPI,2
Medical image analysis,,2
International Breastfeeding Journal,BioMed Central; London,2
Engineering Biology,John Wiley and Sons Inc.; Hoboken,2
Acta Crystallographica Section A: Foundations and Advances,International Union of Crystallography,2
International journal of thermophysics,,2
Medical Science Educator,Springer US; New York,2
"Journal of Microbiology (Seoul, Korea)",The Microbiological Society of Korea; Seoul,2
Journal of Pharmaceutical Policy and Practice,BioMed Central; London,2
Linguistics,De Gruyter,2
Molecular oral microbiology,,2
Molecular microbiology,,2
Clinical Psychopharmacology and Neuroscience,Korean College of Neuropsychopharmacology,2
Acta psychologica,,2
Psychiatry and Clinical Psychopharmacology,Mesut Çetin,2
Npj Dementia,Nature Publishing Group UK; London,2
Blood Transfusion,Edizioni SIMTI - SIMTI Servizi Srl,2
Stroke and Vascular Neurology,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",2
Fukushima Journal of Medical Science,The Fukushima Society of Medical Science,2
Indian Pacing and Electrophysiology Journal,Elsevier,2
Hand Therapy,"SAGE Publications; Sage UK: London, England",2
Temperature: Multidisciplinary Biomedical Journal,Taylor & Francis,2
Zeitschrift für Medizinische Physik,Elsevier,2
JDR Clinical and Translational Research,"SAGE Publications; Sage CA: Los Angeles, CA",2
World Journal of Clinical Pediatrics,Baishideng Publishing Group Inc,2
The Journal of Spinal Cord Medicine,Taylor & Francis,2
International Neurourology Journal,Korean Continence Society,2
Annals of Gastroenterology,Hellenic Society of Gastroenterology; Greece,2
BMJ Oncology,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",2
Acta Medica Academica,Academy of Sciences and Arts of Bosnia and Herzegovina; Bosnia and Herzegovina,2
The American Journal of Surgical Pathology,"Lippincott Williams & Wilkins; Hagerstown, MD",2
Asian Journal of Transfusion Science,Wolters Kluwer - Medknow; India,2
La Tunisie Médicale,Tunisian Society of Medical Sciences,2
American Heart Journal Plus: Cardiology Research and Practice,Elsevier,2
Asia-Pacific Journal of Oncology Nursing,Elsevier,2
Experimental and Clinical Endocrinology & Diabetes,"Georg Thieme Verlag KG; Rüdigerstraße 14, 70469 Stuttgart, Germany",2
The Patient,Springer International Publishing; Cham,2
Journal of the American College of Emergency Physicians Open,John Wiley and Sons Inc.; Hoboken,2
International Journal for Numerical Methods in Biomedical Engineering,"John Wiley & Sons, Inc.; Hoboken, USA",2
Current Cardiology Reports,Springer US; New York,2
Microsystems & Nanoengineering,Nature Publishing Group UK; London,2
Nature Machine Intelligence,Nature Publishing Group UK; London,2
Journal of Bone Metabolism,The Korean Society for Bone and Mineral Research,2
Atencion Primaria,Elsevier,2
Rheumatology and Therapy,Springer Healthcare; Cheshire,2
Family Process,John Wiley and Sons Inc.; Hoboken,2
JVS-Vascular Science,Elsevier,2
EFORT Open Reviews,Bioscientifica Ltd; Bristol,2
Applied Health Economics and Health Policy,Springer International Publishing; Cham,2
Chemical Society Reviews,The Royal Society of Chemistry,2
International Journal of Immunogenetics,John Wiley and Sons Inc.; Hoboken,2
Journal of Vascular Surgery: Venous and Lymphatic Disorders,Elsevier,2
JTO Clinical and Research Reports,Elsevier,2
Global Advances in Integrative Medicine and Health,"SAGE Publications; Sage CA: Los Angeles, CA",2
Aging Medicine,John Wiley and Sons Inc.; Hoboken,2
BMC Primary Care,BioMed Central; London,2
Cerebrovascular Diseases Extra,"S. Karger AG; Basel, Switzerland",2
International Journal of Sexual Health,Taylor & Francis,2
Journal of Molecular Histology,Springer Netherlands; Dordrecht,2
Foot & Ankle Orthopaedics,"SAGE Publications; Sage CA: Los Angeles, CA",2
Journal of Gastrointestinal Cancer,Springer US; New York,2
European Journal of Breast Health,Galenos Publishing,2
Biotechnology Notes,KeAi Publishing,2
Developmental Psychobiology,John Wiley and Sons Inc.; Hoboken,2
Child,John Wiley and Sons Inc.; Hoboken,2
Polymer Chemistry,The Royal Society of Chemistry,2
European Journal of Clinical Investigation,John Wiley and Sons Inc.; Hoboken,2
Histopathology,John Wiley and Sons Inc.; Hoboken,2
European Journal of Preventive Cardiology,Oxford University Press; UK,2
BMJ Open Sport & Exercise Medicine,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",2
Journal of Industrial Ecology,John Wiley and Sons Inc.; Hoboken,2
Journal of the West African College of Surgeons,Wolters Kluwer - Medknow; India,2
Journal of Physical Therapy Science,The Society of Physical Therapy Science,2
Aging biology,,2
Journal of Clinical & Translational Endocrinology,Elsevier,2
Journal of Korean Neurosurgical Society,Korean Neurosurgical Society,2
Archives of Dermatological Research,Springer Berlin Heidelberg; Berlin/Heidelberg,2
Journal of the Experimental Analysis of Behavior,"Wiley Subscription Services, Inc.; Hoboken, USA",2
Journal of Ophthalmic Inflammation and Infection,Springer Berlin Heidelberg; Berlin/Heidelberg,2
BJA: British Journal of Anaesthesia,Elsevier,2
Endocrine Journal,The Japan Endocrine Society,2
"Biofactors (Oxford, England)","John Wiley & Sons, Inc.; Hoboken, USA",2
Headache,John Wiley and Sons Inc.; Hoboken,2
Exposome,Oxford University Press,2
International Journal of Peptide Research and Therapeutics,Springer Netherlands; Dordrecht,2
Human Resources for Health,BioMed Central; London,2
Journal of Evidence-Based Medicine,John Wiley and Sons Inc.; Hoboken,2
Journal of Pediatric Psychology,Oxford University Press,2
American Journal of Industrial Medicine,John Wiley and Sons Inc.; Hoboken,2
Cytogenetic and Genome Research,"S. Karger AG; Allschwilerstrasse 10, P.O. Box · Postfach · Case postale, CH–4009, Basel, Switzerland · Schweiz · Suisse, Phone: +41 61 306 11 11, Fax: +41 61 306 12 34, karger@karger.com",2
The Australian and New Zealand Journal of Psychiatry,"SAGE Publications; Sage UK: London, England",2
Journal of Periodontal Research,John Wiley and Sons Inc.; Hoboken,2
Environmental and Occupational Health Practice,Japan Society for Occupational Health,2
Glomerular Diseases,"S. Karger AG; Basel, Switzerland",2
Case Reports in Ophthalmology,"S. Karger AG; Basel, Switzerland",2
Discover Psychology,Springer International Publishing; Cham,2
Healthcare Informatics Research,Korean Society of Medical Informatics,2
The Journal of Liquid Biopsy,Elsevier,2
Journal of the National Cancer Center,Elsevier,2
Sexually Transmitted Diseases,Lippincott Williams & Wilkins,2
Current Opinion in Lipidology,"Lippincott Williams & Wilkins; Hagerstown, MD",2
Neurology International,MDPI,2
International Journal of Nephrology and Renovascular Disease,Dove,2
Journal of Central Nervous System Disease,"SAGE Publications; Sage UK: London, England",2
Alimentary Pharmacology & Therapeutics,John Wiley and Sons Inc.; Hoboken,2
Perspectives on Sexual and Reproductive Health,"Wiley Subscription Services, Inc.; Hoboken, USA",2
Journal of Cross-Cultural Psychology,"SAGE Publications; Sage CA: Los Angeles, CA",2
Journal of Periodontology,John Wiley and Sons Inc.; Hoboken,2
Basic & Clinical Pharmacology & Toxicology,John Wiley and Sons Inc.; Hoboken,2
The Journal of Pathology,"John Wiley & Sons, Ltd; Chichester, UK",2
"Philosophy, Ethics, and Humanities in Medicine : PEHM",BioMed Central,2
Iucrj,International Union of Crystallography,2
Artificial Intelligence in Medicine,Elsevier Science Publishing,2
Psychoneuroendocrinology,Pergamon Press,2
Research in Microbiology,Elsevier,2
Journal of stem cell research & therapy,,2
Frontiers in applied mathematics and statistics,,2
Pituitary,Springer US; Boston,2
Endocrine Pathology,Springer US; Boston,2
"Journal of Molecular Catalysis. B, Enzymatic",Elsevier Science,2
In Silico Pharmacology,Springer Berlin Heidelberg; Berlin/Heidelberg,2
Tropical Plant Biology,Springer US; Boston,2
Iranian Journal of Reproductive Medicine,"Research and Clinical Center for Infertility; Yazd, Iran",2
Journal of Biophysics,Hindawi Publishing Corporation,2
Archivum Immunologiae et Therapiae Experimentalis,Springer Basel; Basel,2
Journal of carcinogenesis & mutagenesis,,2
Molecular Biosystems,Royal Society of Chemistry,2
Phonetica,De Gruyter,2
Plant Science,Elsevier Ireland,2
Emerging Health Threats Journal,Co-Action Publishing,2
Nanoscale Research Letters,Springer US; Boston,2
ISRN Biotechnology,Hindawi Publishing Corporation,2
Health Information Science and Systems,BioMed Central,2
Journal of cancer science & therapy,,2
Resuscitation Plus,Elsevier,2
Neurobiology of Sleep and Circadian Rhythms,Elsevier,2
Multiple Sclerosis International,Hindawi Publishing Corporation,2
International Journal of Circumpolar Health,Co-Action Publishing,2
The AAPS Journal,Springer US; New York,2
Journal of Genetics and Genomics,"Science press ;, Elsevier",2
Marine Environmental Research,Elsevier,2
Journal of Community Genetics,Springer Berlin Heidelberg; Berlin/Heidelberg,2
Journal of Veterinary Medicine,Hindawi Publishing Corporation,2
Advances in Medicine,Hindawi Publishing Corporation,2
The American Journal of Pathology,American Society for Investigative Pathology,2
Journal of Medicinal Chemistry,American Chemical Society,2
Plant Molecular Biology Reporter / Ispmb,Springer US; New York,2
Journal of Thrombosis and Thrombolysis,Springer US; New York,2
Journal of Nuclear Medicine,Society of Nuclear Medicine,2
JMIR Perioperative Medicine,"JMIR Publications; Toronto, Canada",2
International Journal of Bacteriology,Hindawi Publishing Corporation,2
Journal of Allergy,Hindawi Publishing Corporation,2
International Journal of Cardiology,Elsevier,2
Diagnostic Microbiology and Infectious Disease,Elsevier Biomedical,2
Quarterly reviews of biophysics,,2
Trends in Biochemical Sciences,Elsevier Trends Journals,2
"Clinical Trials (London, England)","SAGE Publications; Sage UK: London, England",2
Journal of Food Protection,Elsevier,2
Indian Journal of Pediatrics,Springer India; New Delhi,2
SLAS discovery : advancing life sciences R & D,,2
International Journal of Biomaterials,Hindawi Publishing Corporation,2
Pathogens & Immunity,Pathogens and Immunity,2
Molecular and Cellular Pediatrics,Springer Berlin Heidelberg; Berlin/Heidelberg,2
International Archives of Occupational and Environmental Health,Springer Berlin Heidelberg; Berlin/Heidelberg,2
Journal of Functional Morphology and Kinesiology,MDPI,2
Journal of Automated Reasoning,Springer Netherlands; Dordrecht,2
Applied Entomology and Zoology,Springer Japan; Tokyo,2
Journal of Pharmacokinetics and Pharmacodynamics,Springer US; New York,2
Journal of water resource and protection,,2
Current opinion in structural biology,,2
The British Journal of Ophthalmology,"BMJ Publishing Group; BMA House, Tavistock Square, London, WC1H 9JR",2
Health Equity,"Mary Ann Liebert, Inc.; 140 Huguenot Street, 3rd FloorNew Rochelle, NY 10801USA",2
Political Psychology,John Wiley and Sons Inc.; Hoboken,2
EJNMMI Physics,Springer International Publishing; Cham,2
Journal of Inorganic Biochemistry,Elsevier,2
Surgical Endoscopy,Springer US; New York,2
International Journal of Breast Cancer,Hindawi,2
European Journal of Phycology,Taylor & Francis,2
Biological Psychiatry. Cognitive Neuroscience and Neuroimaging,"Elsevier, Inc",2
Chemtexts,Springer International Publishing; Cham,2
Tuberculosis Research and Treatment,Hindawi,2
JMIR Medical Education,"JMIR Publications; Toronto, Canada",2
Mycologia,Taylor & Francis,2
European Journal of Psychology of Education,Springer Netherlands; Dordrecht,2
Twin Research and Human Genetics,"Cambridge University Press; Cambridge, UK",2
Journal of Family & Reproductive Health,"Tehran University of Medical Sciences; Tehran, Iran",2
Upsala Journal of Medical Sciences,Taylor & Francis,2
Cancers of the Head & Neck,BioMed Central; London,2
Lipids,"John Wiley & Sons, Inc.; Hoboken, USA",2
Molecular and Cellular Endocrinology,North Holland Publishing,2
Trends in Microbiology,Elsevier Trends Journals,2
Physiological and Molecular Plant Pathology,Academic Press,2
International Journal of Acarology,Taylor & Francis,2
Ajob Empirical Bioethics,Taylor & Francis,2
Euphytica,Springer Netherlands; Dordrecht,2
Journal of Oral Pathology & Medicine,John Wiley and Sons Inc.; Hoboken,2
Biomedical Optics Express,Optical Society of America,2
Applied Psychophysiology and Biofeedback,Springer US; New York,2
AIMS Genetics,AIMS Press,2
Inorganics,,2
Journal of Plant Physiology,Urban & Fischer,2
Biochemistry Insights,"SAGE Publications; Sage UK: London, England",2
Journal of the Peripheral Nervous System,"Wiley Periodicals, Inc.; Malden, USA",2
Immuno-Oncology Technology,Elsevier,2
Pediatric Investigation,John Wiley and Sons Inc.; Hoboken,2
Gastroenterology Research,Elmer Press,2
Journal of Computational Social Science,Springer Singapore; Singapore,2
Demography,Springer US; New York,2
Cilia,BioMed Central; London,2
Computers in Biology and Medicine,Elsevier,2
Journal of Microscopy,John Wiley and Sons Inc.; Hoboken,2
Cortex; a journal devoted to the study of the nervous system and behavior,,2
JMIR Diabetes,"JMIR Publications; Toronto, Canada",2
Experimental Hematology,Elsevier Science Inc,2
Lung,Springer US; New York,2
Orthopaedic Surgery,"John Wiley & Sons Australia, Ltd; Melbourne",2
Journal of the Economic Science Association,Springer US; New York,2
Frontiers in physics,,2
Plant Systematics and Evolution,Springer Vienna; Vienna,2
Injury Epidemiology,Springer International Publishing; Cham,2
Journal of neural engineering,,2
Current Atherosclerosis Reports,Springer US; New York,2
Sexual Development,"S. Karger AG; Allschwilerstrasse 10, P.O. Box · Postfach · Case postale, CH–4009, Basel, Switzerland · Schweiz · Suisse, Phone: +41 61 306 11 11, Fax: +41 61 306 12 34, karger@karger.ch",2
Asthma research and practice,BioMed Central; London,2
Environmetrics,John Wiley and Sons Inc.; Hoboken,2
Journal of Physiology and Biochemistry,Springer Netherlands; Dordrecht,2
Marine Genomics,Elsevier,2
"Air Quality, Atmosphere, & Health",Springer Netherlands; Dordrecht,2
Memo,Springer Vienna; Vienna,2
Drug Metabolism and Disposition,"The American Society for Pharmacology and Experimental Therapeutics; Bethesda, MD",2
Biomaterials,Elsevier Science,2
Nature chemistry,,2
Archives of Women's Mental Health,Springer Vienna; Vienna,2
Clinical and Vaccine Immunology : CVI,"American Society for Microbiology; 1752 N St., N.W., Washington, DC",2
Coral Reefs (Online),Springer Berlin Heidelberg; Berlin/Heidelberg,2
Journal of Mass Spectrometry,John Wiley and Sons Inc.; Hoboken,2
Schizophrenia Research,Elsevier Science Publisher B. V,2
Toxicology in Vitro,Pergamon Press,2
Seminars in Immunopathology,Springer Berlin Heidelberg; Berlin/Heidelberg,2
Bioorganic & Medicinal Chemistry Letters,Elsevier Science Ltd,2
"Plant Cell, Tissue and Organ Culture",Springer Netherlands; Dordrecht,2
Zebrafish,"Mary Ann Liebert, Inc.; 140 Huguenot Street, 3rd FloorNew Rochelle, NY 10801USA",2
Water Resources Research,John Wiley and Sons Inc.; Hoboken,2
Environmental microbiology,,2
The Lancet. Gastroenterology & Hepatology,Elsevier B.V,2
Current Research in Physiology,Elsevier,2
Journal of Aging Research,Hindawi,2
Current Opinion in Structural Biology,Elsevier Science,2
Toxicology and Applied Pharmacology,Academic Press,2
Complex & Intelligent Systems,Springer International Publishing; Cham,2
"Lichenologist (London, England)","Cambridge University Press; Cambridge, UK",2
Journal of Archaeological Method and Theory,Springer US; New York,2
Annals of Human Genetics,John Wiley and Sons Inc.; Hoboken,2
Radiation and Environmental Biophysics,Springer Berlin Heidelberg; Berlin/Heidelberg,2
International Journal of Emergency Medicine,Springer Berlin Heidelberg; Berlin/Heidelberg,2
Radiation Protection Dosimetry,Oxford University Press,2
Psychological science,"SAGE Publications; Sage CA: Los Angeles, CA",2
Transactions of the Royal Society of Tropical Medicine and Hygiene,Oxford University Press,2
The Journal of allergy and clinical immunology,,2
Clinical Neurophysiology,Elsevier,2
Journal of Invertebrate Pathology,Academic Press,2
"Limnology and Oceanography, Methods",John Wiley and Sons Inc.; Hoboken,2
Endocrinology and Metabolism,Korean Endocrine Society,2
Tuberculosis and Respiratory Diseases,The Korean Academy of Tuberculosis and Respiratory Diseases,2
Open Access Rheumatology : Research and Reviews,Dove Medical Press,2
Planta Medica,Georg Thieme Verlag KG; Stuttgart · New York,2
Clinical Diabetes : A Publication of the American Diabetes Association,American Diabetes Association,2
